epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,94.8666,1.01843,1.91399,0.8419,0.88665,0.88851,0.90262,0.67153,0.87354,0.67772,0.82156,0.000475909,0.000475909,0.000475909
2,163.813,0.91377,0.83078,0.8231,0.89254,0.88139,0.91053,0.69972,0.77371,0.56698,0.80952,0.000951312,0.000951312,0.000951312
3,234.958,0.88904,0.66655,0.81794,0.87606,0.90374,0.91761,0.7121,0.73321,0.54859,0.80581,0.001423,0.001423,0.001423
4,303.901,0.8581,0.60143,0.81571,0.92052,0.89317,0.92288,0.72964,0.71145,0.48308,0.79957,0.00141647,0.00141647,0.00141647
5,373.193,0.82489,0.57362,0.80803,0.89947,0.91751,0.93138,0.73395,0.70443,0.49051,0.79835,0.00140678,0.00140678,0.00140678
6,442.327,0.81158,0.54396,0.80603,0.92523,0.90106,0.93199,0.74622,0.68676,0.461,0.79553,0.00139438,0.00139438,0.00139438
7,513.267,0.80197,0.55531,0.80537,0.91933,0.90588,0.9388,0.74585,0.70434,0.46297,0.79768,0.00137933,0.00137933,0.00137933
8,584.113,0.77814,0.50937,0.803,0.90562,0.93268,0.94252,0.75697,0.65991,0.43929,0.79391,0.00136168,0.00136168,0.00136168
9,655.207,0.76874,0.50806,0.80095,0.91912,0.9163,0.93935,0.75287,0.67375,0.44337,0.79226,0.0013415,0.0013415,0.0013415
10,729.618,0.77027,0.51217,0.8028,0.90775,0.93388,0.94283,0.76819,0.64159,0.42023,0.78963,0.00131888,0.00131888,0.00131888
11,798.233,0.7543,0.50353,0.80113,0.90841,0.91587,0.94543,0.76822,0.65026,0.44146,0.79002,0.00129391,0.00129391,0.00129391
12,868.804,0.72974,0.48036,0.79412,0.91437,0.917,0.94868,0.76191,0.66121,0.41819,0.79246,0.00126667,0.00126667,0.00126667
13,939.152,0.73532,0.48166,0.7957,0.90726,0.92812,0.94485,0.76797,0.64652,0.41423,0.7906,0.00123728,0.00123728,0.00123728
14,1009.48,0.72632,0.46447,0.79653,0.92368,0.91978,0.94164,0.77228,0.61951,0.41177,0.78727,0.00120586,0.00120586,0.00120586
15,1085.49,0.72512,0.45592,0.79565,0.93363,0.9241,0.95304,0.78085,0.62282,0.3913,0.7887,0.00117253,0.00117253,0.00117253
16,1155.1,0.71262,0.44171,0.79658,0.92582,0.92384,0.95394,0.77453,0.60153,0.39273,0.78642,0.00113742,0.00113742,0.00113742
17,1225.46,0.70257,0.43991,0.79398,0.93215,0.9255,0.95499,0.77642,0.60817,0.37873,0.78598,0.00110066,0.00110066,0.00110066
18,1294.48,0.70111,0.43518,0.79712,0.93273,0.92971,0.95954,0.78926,0.59758,0.38248,0.78632,0.00106242,0.00106242,0.00106242
19,1398.81,0.68858,0.42687,0.78945,0.92243,0.93477,0.9561,0.78467,0.58898,0.37519,0.78572,0.00102282,0.00102282,0.00102282
20,1467.43,0.68157,0.42158,0.79391,0.91549,0.93995,0.9585,0.79218,0.59343,0.37217,0.78517,0.00098204,0.00098204,0.00098204
21,1535.74,0.66593,0.41665,0.78706,0.94059,0.91731,0.95638,0.79636,0.56965,0.35824,0.78406,0.00094023,0.00094023,0.00094023
22,1604.42,0.65908,0.41169,0.79295,0.93902,0.92815,0.95609,0.78874,0.57998,0.36749,0.78342,0.000897557,0.000897557,0.000897557
23,1672.1,0.65929,0.40382,0.79071,0.91607,0.94639,0.95821,0.79833,0.57411,0.36457,0.78238,0.00085419,0.00085419,0.00085419
24,1740.79,0.65306,0.3928,0.78395,0.93874,0.93244,0.9595,0.80221,0.5584,0.35336,0.78174,0.0008103,0.0008103,0.0008103
25,1809.33,0.64784,0.3981,0.78788,0.93674,0.929,0.96286,0.80013,0.56652,0.34892,0.7814,0.00076606,0.00076606,0.00076606
26,1880.88,0.65577,0.39813,0.79117,0.94593,0.92209,0.96053,0.79509,0.57544,0.36632,0.7817,0.000721645,0.000721645,0.000721645
