epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,5125.75,0.50955,0.2901,0.78729,0.96817,0.95488,0.97678,0.85222,0.47797,0.27554,0.78521,0.000336392,0.000336392,0.000336392
43,5246.63,0.50668,0.29452,0.78714,0.96934,0.95314,0.9766,0.85152,0.4766,0.27716,0.78469,0.000305872,0.000305872,0.000305872
44,5367.41,0.50328,0.28388,0.78726,0.97339,0.95741,0.98319,0.8561,0.47478,0.26542,0.78474,0.000276492,0.000276492,0.000276492
45,5487.85,0.50195,0.28352,0.78636,0.96482,0.95922,0.9821,0.85014,0.47612,0.27175,0.78473,0.000248332,0.000248332,0.000248332
46,5609.03,0.49956,0.27975,0.78539,0.95878,0.96484,0.97916,0.856,0.47109,0.26797,0.78469,0.000221469,0.000221469,0.000221469
47,5729.78,0.4959,0.27532,0.78464,0.97101,0.95568,0.97926,0.85451,0.47323,0.26653,0.78477,0.000195978,0.000195978,0.000195978
48,5850.02,0.48867,0.27063,0.78813,0.96729,0.96203,0.97866,0.85263,0.4712,0.26676,0.78465,0.000171927,0.000171927,0.000171927
49,5971.79,0.49813,0.27255,0.78317,0.96732,0.9592,0.97866,0.85287,0.47109,0.26677,0.78441,0.000149383,0.000149383,0.000149383
50,6093.26,0.48514,0.26088,0.78533,0.96337,0.96061,0.97803,0.8566,0.47042,0.26235,0.78456,0.000128407,0.000128407,0.000128407
51,6220.49,0.48476,0.26191,0.78855,0.96096,0.96384,0.97744,0.85564,0.47217,0.26813,0.784,0.000109058,0.000109058,0.000109058
52,6342.67,0.4853,0.25907,0.78768,0.96833,0.95963,0.97999,0.856,0.47104,0.26276,0.78379,9.13871e-05,9.13871e-05,9.13871e-05
53,6463.75,0.4722,0.24956,0.78551,0.97241,0.95476,0.9804,0.85778,0.46892,0.25984,0.78362,7.54441e-05,7.54441e-05,7.54441e-05
54,6584.23,0.47584,0.25127,0.78469,0.95991,0.96529,0.97893,0.85836,0.46845,0.26148,0.78374,6.12722e-05,6.12722e-05,6.12722e-05
55,6705.83,0.47319,0.24861,0.78456,0.96025,0.96969,0.97932,0.85576,0.46784,0.26058,0.78348,4.89104e-05,4.89104e-05,4.89104e-05
56,6827.15,0.47133,0.2498,0.78486,0.96841,0.95893,0.97952,0.85668,0.46786,0.25882,0.78373,3.83925e-05,3.83925e-05,3.83925e-05
57,6947.46,0.46541,0.24589,0.78452,0.96051,0.9682,0.97957,0.85624,0.46704,0.25693,0.78346,2.97474e-05,2.97474e-05,2.97474e-05
58,7070.26,0.47003,0.24496,0.78131,0.96406,0.96424,0.98036,0.85695,0.46595,0.25521,0.78334,2.29987e-05,2.29987e-05,2.29987e-05
59,7191.96,0.46881,0.24523,0.78521,0.96088,0.96888,0.98028,0.85808,0.46529,0.25794,0.78349,1.8165e-05,1.8165e-05,1.8165e-05
60,7312.51,0.46606,0.23942,0.78665,0.96205,0.96717,0.98053,0.85725,0.46618,0.25651,0.78336,1.52594e-05,1.52594e-05,1.52594e-05
